object|attribute|senword
奥迪r8|粉色|受不了
比亚迪|服务|何时能赶上
null|服务态度|倒闭，老天下了眼
广汽丰田ssss第一店|服务态度|遭到无视
4s店|服务质量，质量保证|哎
马六|开车素质|乱开
比亚迪|功能，营销|功能展示不明显
null|技术感|操
奔驰|节奏，3.5v6的技术|跟不上，out
a1|价格|价格贵，性能树
思域|保养价格|打挣保养费
bmw|配置|坑爹
q3|空间|小的不能再小
奥迪a5|null|烧机油
宝马5系|保养成本|高
捷豹xf|空间|再大一点
奔驰e级|屁股|不那么翘
英菲尼|品牌|日本
这辆车|离合|美中不足
一汽大众|4s店排污|污水排入小溪
沃尔沃|气囊|自爆
奇瑞|人才流动|太大
null|设计|null
null|设计能力|null
新揽胜|车头，设计|丑爆了
日本车|安全|牺牲
福特|视频|外行
奥迪a6|视频文件|不允许播放
奥迪a3|售价|可以买两部这样的车
null|底盘厚实度，前门板扶手，整体舒适性|差一点，太短，比不上
a1|外观|远远没有那么丰富
null|外形|null
大众|外形|趋同
大众|外形|null
长车|下坡|大问题
奔驰c系|味道，销量|异味，被抛开
奔驰|销量绝对值和相对增幅|落后
丰田混动|售价，销量|高，未能大幅
雅力士|销量|仅，无法理解
奥迪|销售|null
比亚迪|销往国内的|null
null|新车玻璃|开了花
途观|性价比|null
奔驰|宣传广告|装高雅
奥迪|宣传广告|爱炫
凌志lx570,巡航舰|音响|垃圾
null|发动机|差强人意
null|引擎盖|有条缝
null|营销|null
保险杠|质量|null
lexus|中国豪华车市场|差很远
a4l2.0t|价格|null 
tt|null|out
奥迪|价格，油耗，保养|sb
比亚迪电动出租车|技术|安全隐患
挡风玻璃|价格|昂贵
小别克|前挡|凹
奥迪4s店|态度|傲慢
奥迪4s店|态度|傲慢
奥迪4s店|服务|傲慢
奥迪4s店|态度|傲慢
null|前脸，尾巴|山寨
东风悦达起亚|null|把我们听众当傻子
奥迪|null|霸道，怒了
丰田|null|白开水
铃木|品牌，马达|太低贱，太糙
日产|null|软蛋
null|气囊|摆设
2012款本田cr-v|尾部设计|败笔
奥迪|这招|败招,不高级
丰田|刹车|刹不住
本田|null|怕手指戳
尼桑|铁皮|薄
国产a6l|null|保持无语
大众奥迪|质量|保障不了
丰田卡罗拉|null|不喜欢
奔驰和宝马|null|暴发户
奔驰宝马悍马|null|暴发户
a4|油门，车噪|暴力，打了很多
日系车|null|杯具
雪铁龙|null|悲催
丰田凯美瑞|null|被彻底干翻
2.3,1.3发动机|发动机|崩溃
雪铁龙和福克|发动机|会嫌弃
奥迪|油价·|逼急了
本田锋范|全方位性能|比不上
本田雅阁|发动机，四轮轴承，氧传感器|定期清洗，易损件，比较差
null|氧传感器质量|比较差，易损件
null|噪音|比较大
整车|噪音|比较大
4s店|null|变态，鄙视
辉腾|减重|必要，不符合节能减排的理念
宝马3系,大众cc|null|边缘
雷克萨斯es350,奥迪a4|null|差
奔驰|null|c级
凯迪拉克|地位|边缘，差距越来越远
奥迪|保养费用|谁他妈说便宜的
奔驰国产车|null|别买
车市罗盘|null|冰山一角
大众|销售|不爱理人
丰田|安全性|不安全
奥迪|null|不霸气
鬼子车|后期费用|不便宜
沃尔沃|外观，安全的品牌塑造|不吸引人，不成功
奔驰|品牌|不成熟
车|排放|不达标
大黄蜂|尾气|不达标
别克|小毛病，保养费，排气管消音器|不断，死贵，经常坏
致胜|性价比|提价减配
蓝牙耳机|null|不方便
奥迪a1|款式，空间|不方便，太小
suv|路感,油耗,后排空间,停车|差，大，小，不方便
null|价格|不菲
山地车|价格|不菲
byd|功能|不符
encore|新设计|不符合规范
这个车|null|不符合中国国情
丰田|null|不负责任
null|售后|不负责任
本田|防盗功能|不敢恭维
奥迪|服务态度|不敢恭维
新帕萨特|内饰|不敢恭维
a1|外形|不敢恭维
null|刹车|abs，不敢猛刹
丰田|刹车系统，安全性|不稳定，不高
cc|性价比|不高
奥迪|性价比|不值当
奥迪|null|不给力
a3|内饰|非常差
途观|null|不给力
日系豪华品牌们|价格，宣传|不给力
手挡车|起步|不给力
q7|刚性，天窗|不够，容易漏水
思域|车内高度|不够
null|transmission，加速感，排量，颜色，外形，价格|不好，不够，小，不好看，丑，搞
大众|空间，空调，内饰|不够大，不够细腻，不太好
宝马|外型|不够大气
钣金|内配做工，座椅做工|不够精致
宝马|内饰|不够科技
奔驰|外观|老气
null|外形|不够帅气
奥迪|null|不够吸引
别克|null|不过如此
奥迪|null|不行
保时捷宝马|null|不行
本田，日产，马自达，本田|null|不行
通用的汉兰达|爬坡|不行，爬不动
日本车|null|不行
途观|驾乘感，加速，内外观|不行，四不像
大众|安全性|不行
开奥迪的|技术|不行
卡罗拉|null|不行
null|推广|不行
null|销量|不行
奇瑞天杭4s店|质量，销售|差，不行
汉兰达|性能|不行
jaguar|外观，质量|难看了，不行
日本车|null|不行啊
奥迪|null|不好
奔驰宝马|null|太招摇
奥迪|null|不好
奔驰|null|不好
欧洲车市|车市，竞争|不好，激烈
奥迪q5|null|不好
奥迪|ff驱动机构|头太重,容易吃胎,操控不好
丰田车|刹车系统|不好
null|喇叭，驾驶习惯|不好
雪佛兰科鲁兹|油耗|耗油
本田思域丰田卡罗拉日产轩逸|日产|不考虑
标志408|车标，车型|讨厌，难看
雪铁龙世嘉|外观|不好
大众朗逸-|内饰，价格，售后|不好，高，超差
奥迪|心脏|不好
国产车|质量，性能|不好
a1|外观|不好看
新款clk|外观|不好看
a7|null|没特点
别克|外观|不好看
悍马|外观|不好看
这辆车|外观|不好看
null|轮毂|不好看
那车|屁股|不好看
null|样子，车标|不好看，猥琐
太高档的车|汽油标号要求，维修|高，不好找地
null|定价，款式，货源|不合理，款式不足，刻意制造短缺
大众车|null|不厚道
宝马|配件质量|不会到位
harrier|性能|不是高性能
mini或者甲壳虫|null|不会考虑
null|汽车空调|不会冷
x5|操控|不会喜欢
ml/gl|操控|最一般
mba奔驰宝马奥迪|外表|太大众了
美车|null|不及日德
奥迪|操控感受|不及
null|漏风，隔音，油耗|不佳，偏高
奥迪|方向回馈力度，路感，停车熄火模式|不佳，较为模糊，不喜欢，很不适应
大众|口碑，发动机|不佳，故障很多
国产的|质量|不见得好
dsg|问题|不解决
途观|口碑|不尽如人意
菲亚特|耐撞程度|不经撞
日本车|耐撞程度|不经撞
奥迪a4|碰撞试验|不堪一击
奥迪r8|null|不靠谱
棒子的车|null|不靠谱
日产|防撞钢梁|不靠谱
通用的车|null|不靠谱
马自达日产本田丰田什么的|感觉|不靠谱
omg|null|不可爱了，不喜欢了
k5|品牌美誉度|不可控
这两种车|路线，思维方式|诡异，不老实
rs，tts|头，灵活性，操作空间|偏重，不灵活，太小
大众奥迪|null|不喜欢
宝马奔驰|价格|买不起
奔驰|混合动力|不买
德系车|耐用程度，油耗，保养|不耐用，贵
雪佛兰|保养|不能发动
别克定凯越|null|不能启动
新款车|外型|不配这头衔
奔驰|价格|不亲民
a6l|外观|不认同
4s店模式|前景|不容乐观
一汽|盈利|干亏
null|前脸设计|过度接近
福特|操控性|不如
奔驰e级1|前脸，脸面和尾巴，价格|霸气，不如，高
奥迪a4|发动机|不如
q7|外形|臃肿
null|越野性能|不如
新a6|前大灯|不如老款霸气
volvo的s80l|安全|不如以往强调
lexus|在中国的发展|不如意
比亚迪|null|炒作，不入流
cc|实用性，外型，空间|不实用，很好，很窄
sedan|外型|太难看
suv|null|不喜欢
跑车|null|不实用
volvo|null|不是别克gl8对手
日产尼桑|质量|不是吹的
奥迪|玻璃颜色|不喜欢
马自达8|null|不是很好，没有feel
新款本田crv|内饰|不是很舒服
宝马|null|不是很喜欢
奥迪|null|不是什么好货
tt|null|不是太喜欢
crv新款|null|不是我的菜
奥迪|外型|不是我喜欢，不失lol
宝马5系|音响|不是一般的烂
q5|null|不是一个等级
比亚迪|null|不是做汽车的料
奔驰|销售|不适合在中国销售
奥迪a4|null|不适合我
粉色奥迪|实用性，后排空间|不适用，只能坐小朋友
轮胎|进口|不适用
宝马|舒适性|不舒服
奥迪|null|不喜欢
兰博基尼|null|不舒服
起亚|舒适性|不舒服
null|黑白格子|不舒服
奥迪|舒适性|不舒服
null|座椅|不舒服
奥迪|null|不爽
丰田|null|不顺眼
索兰托|起步，加速|不算十分给力，十分吃力
比亚迪|产品，策划|不踏踏实实，呕吐
null|a柱视觉|不太好
null|刹车功能|不太好，危险
奥迪|室内空间，人流流动|太小了点，不太合理
齿轮|耐用性|不太容易解决
别克|null|不太稀饭
crv|null|不太喜欢
大众|烧机油,进而引发什么启动困难,怠速抖|没办法解决
宝马|null|不太喜欢
奥迪|油耗|烧机油
宝马奔驰|null|不太喜欢
大众|null|不太喜欢
现款的奥迪|尾部|不太喜欢
s5|风格|不太喜欢
null|升挡，变速|过快，不稳
奥迪a4|null|不喜欢
a6l|null|不喜欢
a7|外型|已经疲劳了
bmw|null|不喜欢
标志508|造型|不喜欢
q7|null|不喜欢
z4|null|不喜欢
丰田，奥迪|null|不喜欢
奥迪|null|不喜欢
奥迪|品牌|不喜欢
奥迪|null|不喜欢
奥迪|null|不喜欢
奥迪|卖点|千篇一律，不喜欢
奥迪|null|不喜欢
奥迪|null|不喜欢
奥迪|null|不喜欢
奥迪a6|null|不喜欢
奥迪r8|颜色|不喜欢
奔驰奥迪宝马|null|不喜欢
宝马|null|不喜欢
宝马|null|不喜欢
宝马|null|不喜欢
沃尔沃|null|不喜欢
宝马7|价格|不喜欢，没银子
宝马奥迪奔驰|null|不喜欢
宝马奔驰|null|不喜欢
奔驰|null|不喜欢
奔驰|null|不喜欢
奔驰|null|不喜欢
奔驰宝马奥迪|null|不喜欢
本田|null|不喜欢
本田|null|不喜欢
本田系列|null|不喜欢
比亚迪|null|不喜欢
标致505|null|不喜欢
别克车|null|不喜欢
大众|null|不喜欢
东风日产|null|不喜欢，太傲慢了
丰田|null|不喜欢
福特|左舵，品牌|大，不喜欢
卡宴|null|不喜欢
马自达|null|不喜欢
那车|外观|方方的，不喜欢
跑车|null|不喜欢
前驱车|null|不喜欢
日系，韩系|null|不喜欢，没人喜欢
土豆泥|null|不喜欢
拖拉机|null|不喜欢
新款|null|不喜欢
红旗|null |不喜欢
宝马|标致|不喜欢
宝马的新5系|设计风格|不喜欢，平庸
车|模样|不喜欢
null|灰色的杠杠|不喜欢
雅阁|驾驶感受|不喜欢
奥迪/a1|轮胎|不是防爆的
奥迪|品牌|不喜欢
a6|前脸|不喜欢
宝马|手刹设计|不喜欢，有点土
330i|外观|不喜欢
奔驰|外观|不喜欢
rav4|变速箱|无语
森林人|外观|不喜欢
途观|价格和性价比|无奈
tt|外形|不喜欢
奔驰，奥迪|长相|不喜欢
宝马5|长相|不喜欢
丰田|null|去死
奥迪a6|款式|不喜欢，官气，商务
奥迪q5|起步|超级肉，不喜欢
桑塔纳夏利|null|不喜欢
奥迪a7|外型|既不显大气、又无霸气,看上去倒有些憋气
夏利|null|不像大人物
奥迪|外型|不新鲜
日产|安全性|不信任
奥迪|null|不要
福特|抄袭|不要脸
凯美瑞|停车|不要脸
null|isofix接口或者latch接口，车身固定和安全带|没配，用脚趾头想就知道
奥迪q5|广告，售价|装逼，高
rs5|车身结构的强度|null
奔驰，奥迪|null|不愿意多看一眼
奥迪a8-6.0|小毛病，服务|真多，不咋的
丰田|车款，质量|千篇一律，不咋的
辉腾|null|不咋地
a4a6|素质|不咋地
大众|参观收听设备|不咋样
别克|null|不怎么行
奔驰|null|不怎么好
奥迪车|null|不怎么喜欢
奥迪|null |不怎么喜欢
mini|外观|不怎样
smart|外观|太过迷你
途观|腿部空间和载货空间|过小
null|维修，气管寿命|不方便，不长
奥迪|null|不能说奥迪很差，不值这些钱
林肯|产品竞争力，成本回收|不足，漫长
null|后排|不足
null|驾驭感|不足
null|起步动力|不足
null|座椅舒适度|不足
null|减震，舒适度|硬，不足
日系豪华车|null|踩不到点上
丰田|null|惨
比亚迪，吉利|产品|惨不忍睹
斯巴鲁|销量|惨淡
雪佛兰|售后|操蛋
蒙迪欧-致胜|装配，发动机|糙，故障，吓人
比亚迪|车载电池|严重影响车的操控，可能侧翻
null|前悬，侧面|太长，侧面不好看
丰田|刹车|刹不住
奥迪|null|嚣张至极
比亚迪|车，人品|差
这种车|安全性能|差
奥迪a4l|刹车，油门，车头|差，重，太重
null|发动机，车身整体性和底盘一体性|噪音大，差
null|噪音，齿轮箱，刹车|大，差，抖动
null|售后，动力|差，太差
起亚|环保，油耗，动力|爱积碳，高，差
null|服务意识|差
奔驰|服务|差
奔驰|服务，质量|差
别克通海|服务|差
null|服务质量|差，g眼看人低
null|做工，手感，椅子，隔音|粗，糙，硬，差
德国车|可靠性|差
suv|路感,油耗,后排空间,停车|差，大，小，不方便
东风日产|配件质量|差
null|配件质量，服务店|差，掉包
宝马|配置|差
null|视线|差，低且窄
奥迪|售后|差
别克4s店|态度|差
奥迪|销售态度|差
null|性价比|差
null|引擎，重启的顿挫感|自动熄火，差
北京现代朗动实车|质感|差，丑
捷豹xf|质量|差
丰田|质量|差到家了
奥迪|质量，可靠性|差
德国车|价格|太贵
国产车|质量|差
双星|质量和做工|差
null|服务|差到死
新a8l|null|差的很远
锐志|配置|差点
null|过弯性能|差点
奔驰的c|市场表现|差劲
audi|服务意识|差劲
雪佛兰|质量，售后服务|差劲，更差
奥迪|质量|差劲
民族品牌|null|有差距
null|品牌|差距
吉利|安全差距|无视
奥迪|品牌|差蛮多的
阿斯顿马丁|整车效果|差强人意，缺乏新鲜感
2|动力，换档|差一截，顿挫感明显
比亚迪|null|抄袭
长城比亚迪|抄袭，创新|特长，扯淡
奔驰c|甲醛含量|超标
雪佛兰爱唯欧|内饰致癌物质|超标
奥迪,奔驰|导航配置|超级旧
比亚迪|高科技|炒作，安全隐患
导航仪|不好用的导航仪|扯淡
trailbrazer|方向盘，油门，动力|沉，沉重，延迟
null|中控台布局造型|陈旧
世爵|发动机|成绩平平
别克车|改装成跑车|吃饱了撑着，闲的蛋疼
null|发动机，起步，提速，换挡|吃力，力不从心，顿挫
null|功能|充其量属于
车|外观|丑
中国汽车|车标|丑
null|浅色内饰|丑
本田|前脸，屁股|好看，丑
宝马|猪鼻子|张扬的一踏糊涂
奥迪|led行车灯|丑
丰田|油门踏板，刹车系统|出现问题
国产车|制造和研发水平|处于劣势
宝马|顶棚和内饰的颜色相区分|穿补丁一样
比亚迪|null|吹牛
日产天籁|车内味道|刺鼻恶臭
那辆车|车内味道|刺激够呛
奥迪a4l|刹车灯|刺眼
奥迪|尾灯|刺眼
韩国汽车|外形，内饰，机械|平平，土气，粗糙
奥迪|做工|粗糙
null|悬挂，底盘防腐涂层，封胶，后桥|非，无，粗糙的裸露的，脆弱纤薄
日本车|null|脆弱
日系车|null|脆弱
奥迪|玻璃|脆弱
骐达|保险杠|脆弱
奔驰|在中国的问题，品牌个性，性价比，营销问题|错综复杂，不如，迟迟不处理好
一汽|null|null
本田雅阁|null|打了鸡血
别克的昂克雷|外形，油耗|又大又贵，耗油
吉利|车型，安全|抄袭，不考虑
大众，丰田，日产|气味|大
null|噪音|大
汽车|质量|大打折扣
迈腾|null|不够好
比亚迪|抗装机力度|null
日系|销售量|大降
丰田|销售量|大降
null|车门|大失所望
君华比亚迪|null|能这么大大手笔
奥迪|null|大众化
奥迪|外形|大众脸
大众|外形|大众脸
大众|null|蛋疼
比亚迪|管理水平，技术水平|狂妄自大
美国的车|null|倒闭
日产|null|就会忽悠
null|排量，马力|大，低
c180|null|低端
比亚迪|炒作|低端
大众汽车|null|低端车世家
null|进气口松动|低级错误
比亚迪|广告|有点过了，蔑视法律，低级的
日系|低迷|产品技术的原因
大众|内饰，价格|全塑料，加价
r8|内饰|太难看
奥迪|null|低调
奥迪a8l|底盘|底
玛莎拉蒂|null|嗲到不行
途观|null|点很背
null|动力|垫底
奔驰|各方面|垫底
奥迪|销售人员|吊的很
奥迪q7|价格|掉价
雅阁，新cr-v、新思域|屁股|毫无设计可言
通用suv|suv市场|短板
广汽|发动机|短板
丰田凯美瑞|高速，刹车|断车轴，常漏油
null|低速，高速|顿挫感严重，飘
大众|null|恶霸
奥迪q7|舒适性|恶心
粉色君威|粉色|恶心
国家队|技术|吹牛逼，抄袭，恬着脸
一汽奥迪|出风口|恶心
一汽大众|null|恶心
本田|车款名称|恶心
奥迪|内饰|恶心
天籁|屁股|恶心
丰田|动力电池|乏善可陈
迈腾|感觉|翻版
丰田，本田|null|烦
兴庆|车行，司机|如龟，烦躁
null|经销网络、媒体关系和品质问题|犯了错误
揽胜|油耗|饭桶
这样的店|轮胎，信誉|有问题，失去信任，非常不道理
日本车|耐撞程度|太软
普锐斯|上街|有风险
途观，指南者，汉兰达|null|fuyun
null|发动机，车重对低速加速的影响|偏高转，负担
奥迪小改款q5|改款|改得很纠结
沃尔沃|处境|尴尬
档杆|使用感觉|钢筋棍
奥迪|保养成本|高
奔驰|保养费|老高了
大众和斯巴鲁|保养费用|高
谷歌无人驾驶汽车|成本|异常高
q3|定价|有些高了
日产楼兰|定价|高
null|故障率，维修费|高，吓死人
奥迪的a1|颜色，价格|null
650i|售价|高
大众的蓝驱|经济上，维修成本，dsg的可靠性|无法相比，高，是个问题
null|刹车，油耗|偏软，高
奔驰奥迪红旗作出租车|油耗，城市的拥堵|高，做了贡献
这款车|动力，油耗|小，高
大众、丰田、本田|价格，配置|高价简配
丰田霸道|价格，油耗，污染|贵，高耗油，高排放
丰田本田|售后，产品|null
奥迪车|用了两年|各种毛病
混合动力车|油耗|根本不省油
宝马|质量|把控的问题
比亚迪|净利润|更差
奔驰c|性价比|更差了
奥迪|嘴|更大了
上一代a4l|和新中网相比|null
君威|车头|拱起来了
a83.0t|null|故障
a6avant|车尾，外观|怪怪的，过于霸气
奥迪a7|溜背设计|怪异
大众|null|鬼地方
320li|价格|贵
6gc|配置|坑爹
audi|价格|贵
q7|价格|贵
q5|大小|大
宝马|价格|贵
奔驰|价格|贵
奔驰|奔驰|价格
奔驰宝马|null|贵
丰田普锐斯|价格|贵
日本车|价格 |贵
奥迪a6l|保养|贵
奔驰|保养费|贵
奔驰|保养|贵
四个圈|服务|贵
null|价格|贵
a1|开价|贵
null|维护|贵
a7和别克|价格，油费|贵，高
x3|价格|贵
东风本田|null|丢人
宝马|null|过敏
日产|产能|过剩
null|尾巴|过时
本田|新款屁股|不好看
rav4|款式|过时了
雅力士和威驰|null|过于寒酸
奥迪|用色|过于激进
荣威|发展状况|还不如
安卓|系统生态圈建设,整体操作体验,工业设计,应用质量|还需努力
比亚迪|技术炒作|还有底线吗
现代|突然加速事件|含糊其辞
奔驰|价格|寒心
奥迪|null|好不到哪里去
null|界面|好恶心
福特车|油耗|好费油
奥迪r8|hellokitty涂装粉红色|好贵，买不起
车|null|好脑残
奥迪|品牌，技术|好你妹，不成熟
奥迪|内室|好小
奇瑞qq|null|和图片一样
比亚迪|维修费|黑心，最大的黑幕
起亚|避震|很差
长城|服务|很差
红色的|null|很嗲
比亚迪|质量|很多问题
null|排量，发动机|很尴尬，无亮点
粉色车|null|很楞也很难看
奥迪|耗机油状况|很厉害
别克|null|很难和奥迪、宝马相提并论
null|4s店维修|很难支付
x1|方向，油门|很重
奔驰|保养价格|很致命
null|原地打方向盘|很重
奥迪|null|恨
沃尔沃|null|恨
奥迪|定价|不厚道
null|质量的提升|忽视了
比亚迪|电池技术|忽悠
奥迪|多媒体，显示屏，倒车雷达，发动机油泵|死机，死机，经常误报，坏了
东风本田、广汽本田、一汽丰田和广汽丰田|库存|销售缓慢
奇瑞|发动机|换
null|设计，地盘结构，tfsi发动机，价格|一样的， 换汤不换药，烧机油，昂贵
别克新君威2.4|水温表|晃动，不正常
奥迪宝马|性能，后期保养|小问题非常多
q3|市场|灰头土脸
日本车|null|悔青了肠子
途观|座椅空间|会卡住啤酒肚
比亚迪|营销|火辣，邋遢
电动车|null|祸害
奥迪|核心技术，全时四驱，fsi全系|没什么像样的，鸡肋，烧机油
丰田车|上路|极大的安全隐患
日本品牌国产汽车|品质|极大的隐患
广汽丰田雅力士，一汽丰田|品牌销量|极其失败
雅阁|油耗，外观|既废油又肉
朗逸|价格，提车时间|加价，过两个月
奔驰|甲醛|超标
宝马|null|生锈
奥迪|发动机|烧机油
null|独立悬挂，车门焊接|减配严重
null|刹车，高级感|震动和前倾，减少
吉利比亚迪长城|null|贱货
null|油耗|在降低点
维修厂里|维修工艺|较大差距
这部车|内饰|无质感，较强的塑料感
比亚迪|手机组件业务、可充电电池和新能源业务，业绩|下滑，进一步恶化
奥迪a6l|内饰与座椅|豪华的，经济型
a6|座椅|居然
福特两厢|null|居然会想去买
一汽奥迪|工作人员|举止野蛮,言语蛮横,态度差
比亚迪|利润，汽车业务，it代工，投资|缩水九成，萎靡不振，严重下滑，无法收回
大众|车系|看不起
起亚|null|看都不要看
奥迪|null|看起来这么不舒服
雪佛兰车|null|靠不住
日产车|null|可怕
丰田|刹车 |刹不住
null|仪表盘，操控区域|可以做得更美
东昌福特4s|维修|坑爹，忽悠
奔驰|保养价格|坑爹
奔驰|后座空间|坑爹
广汽丰田|null|坑爹
日产|款型|一模一样，坑爹
长安福特|null|坑爹
丰田车|保险杠|轻轻一吻就掉了
雪佛兰ssss|保养价格|坑爹
奥迪|null|坑爹
null|头部空间|坑爹
null|自动泊车|坑爹
丰田|中国客户|被坑害，傻逼
宝马|优惠|抠
起亚|null|苦了
它|大天窗|没有
capcom|设定|夸张
null|服务|垃圾
奥迪新a81|设计，贵族感|雷同，拉低
日产|null|来火
别克|null|烂
雷诺|null|烂
帕萨特和迈腾|null|烂
雪佛兰皮卡|创意|浪费
罗拉，佳美，皇冠|null|吃老本
聆风|电池|老化过快
本田|引以为傲的技术，发动机|不见踪影，老迈
奥迪|车型|老气
日系|null|冷淡
null|发动机|启动不了，发动了一个劲的抖
马自达|利润|连亏
保时捷|品牌|廉价
奥迪|刹车|刹车灵敏快后段迟缓
福特|底盘|留有硬伤
大众|传统味道|流失
福特和三菱|null|漏油
null|高速，刹车|断车轴，漏油
新奥拓|制动性能|乱撞人
奔驰|null|落后
奔驰|工业设计，营销定位|远弱于，完全输给
null|延展性，遮瑕|略逊色于
5系宝马|导航|麻烦极了
保时捷|价格|买不起
这两个本田crv|屁股，价格|不好看，高了
奥迪|价格|null
奥迪a6|速度|慢
奔驰|速度|慢
奔驰|对市场的反应速度，降价|慢，严重损害了其品牌价值
辉腾|起步|慢
索兰托|起步，高速提速|不算十分给力，十分吃力
本田|后备箱|迅速折叠
宝马|烧机油，保有量和呼声|真不少，没奥迪多
本田|电池|没电
丰田|混合动力车型|没多少市场
a5|方向，路感指向|偏轻，没法比
别克，比亚迪|视频|没给品牌产品加分，脑残
奇瑞|冒进政策|没看好
tt|null|去死吧，没那么霸气
宝马|服务态度|没人搭理
benz|null|没什么好感
比亚迪|打造品质|没水准
开这种车的|null|没素质
丰田iq|null|没戏
a4|保养周期|没优势
3w4刀的奥迪|天窗，内饰，轮毂，坐垫，安全气囊|没有，没好看的，没霸道的，没加热的，自配
比亚迪|创新，销量和利润|没有，没有支撑点
丰田|设计|没有
日系车|安全|没有保障
大众|null|没有底线
大众|服务|没有这么好
吉普|logo|美中不足
雅马哈|废气检测|无法过线
a4|null|被秒杀
gt86|null|名不正,言不顺
null|侧倾，凹凸路面状况|明显，较颠簸
null|顿挫感|明显
五菱|null|模仿
比亚迪|造型|模仿
奔驰的blueefficiency|内容，概念|宽泛，模糊
奥迪|小毛病|那么多
奥迪宝马|后面|那幺小
大众|广告|难懂
两万块钱的车|null|难开
a7|外观|难看
揽胜，X6，桑塔纳|外观|难看
宝马|外观|难看
奇瑞qq|外观|难看
null|车尾|难看
q5|轮毂|难看
null|屁股|难看
奥拓|null|难以成为奥迪
比亚迪|null|脑残才买
奥迪|null|脑子被枪打过了
日产，起亚|null|一个鸟样
null|参观人数，规模和档次|配不上国际标准
null|定价|偏高
大众|刹车|偏软
null|刹车|偏硬
汉兰达|爬坡能力|坡难爬
奥迪|null|破
别克凯越|null|破
s60|安全系数|null
比亚迪|null|破车
雪佛兰|null|破车
丰田4s|null|破丰田4s
奥迪a4l|刹车油管|破裂，失望至极
日系车|市场份额|降低了，前景堪忧
null|舒适|欠缺
日产车商|null|强烈鄙视
null|车身|轻
本田|底盘|轻
奥迪|车身|嘴硬
大众|汽车|去shi
通用雪佛兰迈锐宝|null|去他妈的
福特|四缸涡轮引擎|缺德
null|内部空间|小
奥迪|烧机油|缺点
民族品牌|竞争力|缺乏
null|耆侈品的内在|缺乏
丰田|设计师|缺乏想象力
a6l和a8l|霸气|缺少
